SYBAMR_GSL_PRD_DS02_BD_MAINT,04/15/2020,18:00:02,04/15/2020,20:13:20,SU
SYBAMR_GSL_PRD_DS02_CD_BACKUP,04/15/2020,18:00:09,04/15/2020,20:13:20,SU
SYBAMR_GSL_PRD_DS02_BW_MAINT,04/11/2020,06:00:04,04/11/2020,11:56:34,SU
SYBAMR_GSL_PRD_DS02_CW_BACKUP,04/11/2020,09:52:43,04/11/2020,11:56:33,SU
SYBAMR_GSL_PRD_DS02_CW_DBCC,04/11/2020,06:00:19,04/11/2020,06:33:23,SU
SYBAMR_GSL_PRD_DS02_CW_REORG,04/11/2020,06:33:24,04/11/2020,09:13:04,SU
SYBAMR_GSL_PRD_DS02_CW_UPDSTATS,04/11/2020,09:13:06,04/11/2020,09:52:42,SU
SYBAMR_GSL_PRD_DS02_BD_TDUMP,04/15/2020,23:15:04,04/15/2020,23:16:04,SU
SYBAMR_GSL_PRD_DS02_CD_TDUMP_FENYPRD,04/15/2020,23:15:08,04/15/2020,23:16:03,SU
SYBAMR_GSL_PRD_DS02_CD_TDUMP_GSLAB,04/15/2020,23:15:08,04/15/2020,23:15:09,SU
SYBAMR_GSL_PRD_DS02_CD_SNAPSHOT,04/15/2020,23:20:17,04/15/2020,23:22:28,SU
SYBAMR_GSL_PRD_DS02_CD_DEADLOCK_PROCESS,04/15/2020,23:00:13,04/15/2020,23:00:15,SU
SYBAMR_GSL_PRD_DS02_CD_SYSMON_PROCESS,04/15/2020,23:00:19,04/15/2020,23:01:16,SU
SYBAMR_NOE_PRD_DS02_BD_MAINT,04/14/2020,23:59:01,04/15/2020,00:45:38,SU
SYBAMR_NOE_PRD_DS02_CD_REORG,04/14/2020,23:59:05,04/15/2020,00:37:48,SU
SYBAMR_NOE_PRD_DS02_CD_BACKUP,04/15/2020,00:37:49,04/15/2020,00:45:37,SU
SYBAMR_NOE_PRD_DS02_CD_FRAGREPORT,04/15/2020,00:37:49,04/15/2020,00:37:49,SU
SYBAMR_NOE_PRD_DS02_BW_MAINT,04/11/2020,14:00:05,04/11/2020,15:20:36,SU
SYBAMR_NOE_PRD_DS02_CW_BACKUP,04/11/2020,14:18:12,04/11/2020,14:26:56,SU
SYBAMR_NOE_PRD_DS02_CW_DBCC,04/11/2020,14:00:12,04/11/2020,14:18:11,SU
SYBAMR_NOE_PRD_DS02_CW_REORG,04/11/2020,14:26:57,04/11/2020,15:08:52,SU
SYBAMR_NOE_PRD_DS02_CW_UPDSTATS,04/11/2020,15:08:54,04/11/2020,15:20:35,SU
SYBAMR_NOE_PRD_DS02_BT_MAINT,04/15/2020,23:50:04,04/15/2020,23:50:10,SU
